iter	Passed	Remaining
0	63	63018
1	65	32862
2	68	22806
3	71	17731
4	73	14662
5	76	12617
6	78	11165
7	81	10072
8	83	9234
9	86	8571
10	89	8030
11	92	7577
12	94	7202
13	97	6871
14	100	6589
15	102	6334
16	105	6114
17	108	5917
18	111	5740
19	113	5578
20	116	5432
21	119	5303
22	121	5180
23	123	5034
24	126	4931
25	129	4834
26	131	4743
27	134	4661
28	136	4583
29	139	4510
30	141	4438
31	144	4377
32	147	4317
33	149	4258
34	152	4202
35	154	4146
36	157	4094
37	159	4046
38	162	4001
39	164	3957
40	167	3927
41	171	3910
42	174	3874
43	176	3839
44	179	3808
45	182	3778
46	185	3755
47	187	3726
48	190	3696
49	193	3670
50	194	3622
51	197	3594
52	199	3567
53	202	3544
54	204	3520
55	207	3501
56	210	3479
57	212	3457
58	215	3434
59	217	3414
60	220	3395
61	223	3376
62	225	3356
63	228	3337
64	230	3319
65	233	3301
66	236	3291
67	239	3287
68	243	3280
69	246	3274
70	249	3260
71	252	3248
72	255	3239
73	257	3227
74	260	3217
75	264	3210
76	267	3203
77	270	3197
78	273	3186
79	276	3175
80	278	3162
81	281	3152
82	284	3145
83	287	3134
84	290	3123
85	292	3111
86	295	3099
87	297	3087
88	300	3075
89	302	3063
90	305	3053
91	308	3041
92	310	3030
93	313	3019
94	316	3010
95	318	2999
96	321	2989
97	323	2978
98	326	2968
99	328	2959
100	331	2948
101	333	2938
102	336	2929
103	338	2919
104	342	2916
105	345	2910
106	347	2902
107	350	2893
108	352	2885
109	355	2876
110	358	2867
111	360	2858
112	363	2851
113	365	2843
114	368	2836
115	371	2828
116	373	2820
117	376	2813
118	379	2806
119	382	2803
120	385	2797
121	387	2792
122	390	2784
123	393	2777
124	395	2771
125	398	2764
126	401	2759
127	404	2753
128	406	2747
129	409	2740
130	412	2737
131	415	2731
132	417	2724
133	420	2717
134	423	2710
135	425	2703
136	428	2700
137	431	2692
138	433	2687
139	436	2680
140	438	2674
141	441	2668
142	444	2662
143	446	2656
144	448	2641
145	450	2635
146	453	2629
147	455	2623
148	458	2617
149	460	2611
150	463	2605
151	465	2598
152	468	2592
153	470	2586
154	473	2580
155	475	2574
156	478	2568
157	480	2562
158	483	2556
159	485	2550
160	488	2544
161	490	2538
162	493	2533
163	495	2527
164	498	2522
165	500	2516
166	503	2511
167	505	2505
168	508	2500
169	511	2495
170	513	2490
171	516	2487
172	519	2484
173	522	2479
174	524	2474
175	527	2469
176	530	2464
177	532	2459
178	535	2455
179	538	2452
180	541	2451
181	544	2447
182	547	2445
183	550	2441
184	553	2437
185	556	2433
186	559	2430
187	561	2426
188	564	2422
189	568	2421
190	571	2418
191	573	2414
192	576	2409
193	578	2405
194	581	2401
195	584	2396
196	586	2392
197	589	2388
198	592	2383
199	595	2380
200	597	2375
201	600	2372
202	603	2368
203	606	2364
204	608	2360
205	611	2356
206	614	2353
207	617	2349
208	619	2345
209	622	2340
210	624	2336
211	627	2331
212	629	2326
213	632	2321
214	635	2318
215	637	2314
216	640	2310
217	642	2305
218	645	2301
219	647	2297
220	650	2292
221	653	2288
222	655	2284
223	658	2280
224	660	2276
225	663	2271
226	666	2267
227	668	2263
228	671	2259
229	673	2255
230	676	2251
231	678	2247
232	681	2243
233	684	2239
234	686	2234
235	689	2232
236	692	2229
237	695	2226
238	698	2224
239	701	2220
240	704	2218
241	707	2215
242	710	2213
243	713	2210
244	716	2207
245	718	2203
246	721	2199
247	724	2196
248	727	2193
249	729	2189
250	732	2186
251	735	2182
252	738	2179
253	740	2175
254	743	2171
255	745	2167
256	748	2163
257	751	2160
258	754	2158
259	756	2154
260	759	2150
261	762	2146
262	764	2142
263	767	2138
264	769	2134
265	772	2130
266	774	2126
267	777	2122
268	779	2119
269	782	2115
270	784	2111
271	787	2107
272	789	2103
273	792	2099
274	794	2095
275	797	2092
276	800	2088
277	802	2084
278	805	2080
279	807	2077
280	810	2073
281	812	2069
282	815	2065
283	817	2061
284	820	2057
285	822	2053
286	825	2050
287	827	2046
288	830	2042
289	833	2039
290	835	2036
291	838	2032
292	840	2028
293	843	2025
294	845	2021
295	848	2017
296	850	2013
297	853	2009
298	855	2005
299	858	2002
300	860	1998
301	863	1996
302	866	1993
303	869	1990
304	872	1988
305	875	1984
306	877	1981
307	880	1978
308	883	1975
309	886	1973
310	889	1970
311	892	1967
312	895	1964
313	898	1961
314	901	1961
315	905	1959
316	908	1957
317	911	1954
318	913	1950
319	916	1947
320	918	1943
321	921	1941
322	925	1940
323	928	1937
324	931	1933
325	933	1930
326	936	1927
327	939	1924
328	941	1921
329	944	1917
330	947	1914
331	949	1910
332	952	1907
333	954	1903
334	957	1900
335	960	1897
336	962	1894
337	965	1891
338	968	1887
339	971	1885
340	973	1882
341	976	1878
342	979	1876
343	982	1873
344	984	1869
345	987	1867
346	990	1864
347	993	1860
348	995	1857
349	998	1854
350	1001	1851
351	1004	1848
352	1007	1845
353	1009	1842
354	1012	1839
355	1015	1836
356	1018	1833
357	1020	1830
358	1023	1827
359	1026	1825
360	1029	1822
361	1032	1820
362	1035	1816
363	1039	1815
364	1042	1813
365	1045	1810
366	1048	1807
367	1051	1806
368	1054	1803
369	1057	1800
370	1060	1797
371	1063	1795
372	1066	1792
373	1069	1790
374	1072	1787
375	1075	1784
376	1078	1783
377	1081	1780
378	1084	1777
379	1088	1775
380	1091	1773
381	1094	1771
382	1098	1768
383	1101	1766
384	1103	1763
385	1107	1761
386	1110	1758
387	1112	1755
388	1115	1752
389	1118	1749
390	1121	1747
391	1124	1744
392	1127	1741
393	1130	1738
394	1133	1735
395	1135	1732
396	1138	1729
397	1141	1726
398	1144	1723
399	1147	1720
400	1149	1717
401	1152	1714
402	1155	1712
403	1158	1709
404	1161	1706
405	1164	1703
406	1166	1699
407	1169	1696
408	1172	1693
409	1174	1690
410	1177	1687
411	1179	1683
412	1182	1680
413	1184	1677
414	1187	1673
415	1189	1670
416	1192	1667
417	1194	1663
418	1197	1660
419	1200	1657
420	1202	1654
421	1205	1650
422	1208	1647
423	1211	1645
424	1214	1642
425	1216	1639
426	1219	1636
427	1222	1633
428	1225	1630
429	1227	1627
430	1230	1624
431	1233	1621
432	1235	1618
433	1238	1615
434	1240	1611
435	1243	1608
436	1246	1605
437	1248	1602
438	1251	1599
439	1253	1595
440	1256	1592
441	1258	1589
442	1261	1586
443	1264	1583
444	1266	1580
445	1269	1576
446	1271	1573
447	1274	1570
448	1276	1567
449	1279	1563
450	1282	1560
451	1284	1557
452	1287	1554
453	1289	1550
454	1292	1547
455	1294	1544
456	1297	1541
457	1299	1538
458	1302	1535
459	1305	1532
460	1307	1528
461	1309	1525
462	1312	1522
463	1315	1519
464	1317	1515
465	1320	1512
466	1322	1509
467	1325	1506
468	1327	1503
469	1330	1500
470	1332	1496
471	1335	1493
472	1338	1491
473	1340	1487
474	1343	1484
475	1346	1481
476	1348	1478
477	1351	1475
