age,gender,height_cm,weight_kg,sit and bend forward_cm,sit-ups counts,class
27,M,172.3,75.24,18.4,60,C
25,M,165,55.8,16.3,53,A
31,M,179.6,78,12,49,C
32,M,174.5,71.1,15.2,53,B
28,M,173.8,67.7,27.1,45,B
36,F,165.4,55.4,21,27,B
42,F,164.5,63.7,0.8,18,D
33,M,174.9,77.2,12.3,42,B
54,M,166.8,67.5,18.6,34,C
28,M,185,84.6,12.1,55,B
42,M,169.2,65.4,16,68,A
57,F,153,49,30,0,D
27,F,156,53.9,13.1,28,C
22,M,175.7,67.9,19.2,55,C
24,M,181,84.4,7.2,54,C
45,F,159,63.1,19,30,A
25,F,164.2,66.6,22.9,39,C
26,M,179.9,71.5,17.8,61,A
26,M,169.2,70.6,15.1,53,B
21,F,162.7,47.2,20.5,36,B
25,F,161.7,63.36,10.7,39,C
59,F,155.9,62.7,29.1,25,A
38,M,166.7,67.3,19.7,62,D
44,M,170,63.3,11.6,49,B
23,F,164.1,59.4,27.5,32,C
62,M,169,70.7,4,43,C
47,F,158.3,53.5,8.1,32,D
48,M,175.8,84.5,3.7,24,D
36,M,176,81.3,8.1,54,C
50,F,159.8,57.1,24.4,30,A
25,M,170.9,70.7,26.4,38,C
26,M,176.7,77.2,9.1,51,C
28,F,159.5,51.54,23,37,A
30,M,172.1,79.5,-2,40,D
49,F,151.5,52,21.3,39,B
40,M,177.6,88.6,12.1,54,C
21,M,172.5,66.4,6.3,46,D
31,M,177.5,79.5,18.4,62,A
32,M,178,84.5,16.2,62,A
27,M,177.6,79.7,1.8,59,D
42,M,168,61,1,32,D
52,M,173.6,84.9,9,43,D
39,M,173.3,69.8,18.2,38,C
33,F,159.6,60.5,22.2,24,C
25,F,161.8,57.7,26.6,50,A
31,M,169.9,73.1,14.5,37,D
34,M,183.6,76.82,14.2,55,B
26,M,172.1,66.1,-9.9,44,D
28,M,180.1,82.1,18.8,55,A
58,M,164.2,64,18.3,38,B
48,M,169.8,75.4,24.7,55,A
23,M,180.1,65.9,18.1,56,A
38,F,157.2,51.7,14.7,19,C
43,F,168.3,69.3,20.2,33,B
21,F,159.5,51.3,2.1,5,D
56,M,166.7,56.9,17.8,30,B
24,M,164.4,66.2,16.2,43,C
58,F,146.5,46.4,17.4,20,C
42,M,174.1,103.1,3.6,25,D
45,M,185.4,80,7.1,22,D
37,M,168.9,78.8,20.9,47,C
31,M,175.3,83.6,7.2,55,D
43,F,164,50.8,13.5,28,C
23,F,162.4,58.9,25.5,48,A
59,F,165,63.7,25.5,30,B
63,M,166.6,75.5,6.7,17,D
40,M,174.2,77.6,12.1,48,B
27,F,150.5,55.7,13.4,23,D
56,F,160.2,62.4,20.7,15,B
35,M,179,75,16.6,54,A
30,M,172.7,78,3.4,25,D
56,M,160.2,62.7,9.5,27,C
36,M,171.5,80.5,16.8,53,A
60,M,175.1,66.5,13.9,31,C
22,M,172.2,70.6,9.8,50,D
22,M,171.9,78.46,-9.3,46,D
37,M,174,75.2,20.5,50,B
21,F,158.1,53.6,12.4,17,D
21,M,170.4,74.3,12.7,54,B
60,F,158.6,62.7,18.4,12,B
27,F,168.5,64.2,23.1,18,D
59,F,156.3,60.5,22.4,23,A
47,F,157,54.1,18.2,25,B
21,F,161.3,50.6,29.4,39,A
51,M,177,68.7,11.3,35,B
48,M,171,66.2,16,49,B
49,M,170,66.2,20,39,C
41,F,158.1,51,28.6,46,A
24,F,159,45.5,22.9,57,A
35,M,178.4,79,14.7,68,A
26,F,156.7,56.3,22.9,28,C
35,M,178.5,78.4,17.1,64,A
25,M,171.2,65.1,22.2,54,A
30,M,176.4,71.7,24.3,56,B
27,M,175.4,86.4,20.6,48,B
41,M,166.7,65.7,18.7,54,A
50,F,158.4,57.2,18.6,17,C
22,M,175.8,72,19,54,C
